TRACKER_ID,ORDER_ID,LOCATION,TRACKER_STATUS,LAST_UPDATE,PORT_ID
TK3786,OR7987,Xiamen,Delivered,20/04/2025 15:13,P039
TK8061,OR6601,Port Botany,Delivered,01/04/2025 18:32,P029
TK2551,OR7966,Scheveningen,Delivered,17/04/2025 19:27,P018
TK3189,OR5824,Rodman (Pacific side),In Transit,22/04/2025 20:01,P011
TK9856,OR7882,Panama Canal,Delivered,14/04/2025 10:20,P046
TK4465,OR6184,Durban,Pending,02/04/2025 11:46,P053
TK9404,OR6629,Panama Canal,In Transit,26/04/2025 10:29,P046
TK4800,OR7703,Xiamen,In Transit,28/04/2025 21:18,P039
TK4262,OR7432,Honolulu,Delivered,14/04/2025 15:11,P012
TK2707,OR7603,Rio de Janeiro,In Transit,25/04/2025 17:38,P037
TK3339,OR7573,Gladstone,Delivered,31/03/2025 12:30,P032
TK7135,OR6715,Southern Port of Sudan,In Transit,21/04/2025 09:13,P003
TK1867,OR7799,Manzanillo,Delivered,20/04/2025 11:11,P044
TK8321,OR7633,Panama Canal,Delivered,06/04/2025 20:21,P046
TK3885,OR7649,Port Louis,Delivered,05/04/2025 19:29,P043
TK1299,OR7957,Quebec,In Transit,23/04/2025 13:33,P015
TK7793,OR6208,Quebec,In Transit,21/04/2025 22:59,P015
TK6231,OR6559,Shanghai Port,Pending,22/03/2025 10:20,P001
TK9258,OR6161,Southern Port of Sudan,Pending,07/04/2025 12:38,P003
TK1420,OR7623,Durban,In Transit,25/04/2025 06:13,P053
TK5946,OR6489,Port Tewfik (Suez Entrance),Pending,17/03/2025 11:54,P004
TK6653,OR7573,Montreal Port,In Transit,21/04/2025 08:58,P014
TK4808,OR5801,Port Louis,Delivered,02/04/2025 15:05,P043
TK4905,OR7718,Kaohsiung,Delivered,06/04/2025 13:49,P048
TK8180,OR6816,Hamburg,In Transit,27/04/2025 23:42,P019
TK3946,OR7974,Port Klang,Pending,31/03/2025 09:43,P021
TK3900,OR7907,Panama Canal,In Transit,22/04/2025 12:03,P046
TK3429,OR6808,Blanc Sablon,In Transit,28/04/2025 09:31,P016
TK5104,OR5763,Quebec,Delivered,02/04/2025 13:58,P015
TK1740,OR7230,Hong Kong,In Transit,26/04/2025 10:03,P040
TK8029,OR7015,Port Hedland,Pending,26/03/2025 13:46,P031
TK2563,OR6767,Port Louis,In Transit,25/04/2025 09:04,P043
TK3420,OR7594,Port Said (Suez Canal entrance),Pending,19/03/2025 08:29,P005
TK2586,OR6923,Hamburg,In Transit,20/04/2025 16:56,P019
TK3440,OR6431,Hamburg,Pending,11/04/2025 11:30,P019
TK9051,OR7495,Rio de Janeiro,In Transit,21/04/2025 16:40,P037
TK9571,OR7738,Walvis Bay,In Transit,23/04/2025 15:00,P045
TK6849,OR7430,Buenos Aires,In Transit,23/04/2025 16:53,P034
TK9919,OR7512,Walvis Bay,Delivered,12/04/2025 11:05,P045
TK1853,OR7454,Kaohsiung,In Transit,26/04/2025 21:41,P048
TK2164,OR6454,Panama Canal,Delivered,02/04/2025 12:22,P046
TK7570,OR6193,Rotterdam,Pending,01/04/2025 12:37,P007
TK5029,OR6105,Rio de Janeiro,Delivered,12/04/2025 10:44,P037
TK3155,OR5831,Xiamen,In Transit,26/04/2025 07:50,P039
TK9118,OR5869,Quebec,Delivered,05/04/2025 19:40,P015
TK2451,OR7098,Durban,In Transit,20/04/2025 16:35,P053
TK6902,OR6429,Rotterdam,In Transit,25/04/2025 18:57,P007
TK8361,OR6651,New York,Delivered,01/04/2025 20:16,P009
TK8427,OR7793,Honolulu,In Transit,23/04/2025 16:48,P012
TK9849,OR7513,Southampton,In Transit,23/04/2025 10:19,P008
TK4338,OR6743,Port of Veracruz,In Transit,28/04/2025 10:42,P035
TK9307,OR5822,Shanghai Port,Delivered,03/04/2025 17:27,P001
TK3467,OR7918,Gladstone,In Transit,29/04/2025 21:59,P032
TK1470,OR6776,Port Hedland,Pending,04/04/2025 10:57,P031
TK8926,OR5923,Houston,In Transit,23/04/2025 18:30,P049
TK6835,OR6199,Montreal Port,Delivered,20/04/2025 14:37,P014
TK4482,OR7384,Mumbai Port,Delivered,16/04/2025 09:17,P020
TK2429,OR5793,Manzanillo,In Transit,28/04/2025 20:59,P044
TK4918,OR7062,Gibraltar Strait,In Transit,21/04/2025 16:51,P022
TK9048,OR7991,Kaohsiung,In Transit,21/04/2025 06:01,P048
TK9682,OR5727,"Port of Thames, London",In Transit,23/04/2025 07:56,P023
TK2935,OR7414,Colon (Panama Canal entrance),In Transit,24/04/2025 16:04,P010
TK7217,OR7786,Los Angeles,In Transit,27/04/2025 20:26,P050
TK5355,OR7377,Mumbai Port,Pending,03/04/2025 15:04,P020
TK9465,OR6429,Rotterdam,In Transit,21/04/2025 15:40,P007
TK3818,OR7797,Quebec,Delivered,19/04/2025 12:40,P015
TK3909,OR7144,Xiamen,In Transit,22/04/2025 07:05,P039
TK8011,OR7808,Buenos Aires,Delivered,11/04/2025 20:20,P034
TK6121,OR6694,Hamburg,In Transit,23/04/2025 22:24,P019
TK3237,OR6137,Port Everglades,Pending,20/03/2025 10:52,P036
TK1438,OR6579,Long Beach,Delivered,22/04/2025 16:25,P051
TK5901,OR5792,Long Beach,Delivered,10/04/2025 19:52,P051
TK5519,OR7330,Port Botany,Delivered,02/04/2025 11:04,P029
TK3698,OR6272,Montreal Port,Pending,22/03/2025 07:29,P014
TK1288,OR6704,Rio de Janeiro,Pending,03/04/2025 12:20,P037
TK2718,OR6225,Hamburg,Pending,12/04/2025 15:00,P019
TK1320,OR6048,Lisboa,In Transit,26/04/2025 08:51,P027
TK8605,OR6073,Gladstone,Delivered,18/04/2025 16:38,P032
TK6769,OR5850,Colon (Panama Canal entrance),Delivered,09/04/2025 18:15,P010
TK9559,OR7059,Durban,In Transit,22/04/2025 22:07,P053
TK1513,OR6113,Rio de Janeiro,Delivered,11/04/2025 15:52,P037
TK8589,OR6316,Hong Kong,Delivered,12/04/2025 09:45,P040
TK4253,OR6780,Jakarta,Delivered,22/04/2025 20:13,P041
TK7098,OR7425,Manzanillo,Delivered,06/04/2025 17:06,P044
TK6986,OR7073,Port of Veracruz,Delivered,15/04/2025 08:08,P035
TK7545,OR7652,Montreal Port,Delivered,13/04/2025 14:13,P014
TK4074,OR5718,Algeciras,Pending,10/04/2025 07:15,P006
TK6387,OR6237,Manila,Pending,28/03/2025 16:58,P047
TK9862,OR7553,Shanghai Port,In Transit,29/04/2025 09:10,P001
TK5272,OR7853,Gladstone,In Transit,24/04/2025 12:04,P032
TK6844,OR6457,Buenos Aires,Pending,04/04/2025 12:06,P034
TK3891,OR6960,Rio de Janeiro,In Transit,29/04/2025 14:48,P037
TK3570,OR5767,Shanghai Port,In Transit,27/04/2025 22:42,P001
TK2243,OR6694,Montreal Port,Pending,01/04/2025 07:09,P014
TK6919,OR6561,Shanghai Port,Pending,02/04/2025 10:52,P001
TK6272,OR5876,Long Beach,Delivered,13/04/2025 11:08,P051
TK5304,OR5759,Port Botany,Delivered,02/04/2025 16:53,P029
TK6823,OR7796,Gibraltar Strait,Pending,23/03/2025 14:37,P022
TK1086,OR5743,Kaohsiung,Delivered,08/04/2025 14:37,P048
TK4461,OR5769,Quebec,Delivered,11/04/2025 14:51,P015
TK1507,OR6823,Montreal Port,In Transit,24/04/2025 10:01,P014
TK2700,OR6389,Xiamen,Delivered,13/04/2025 11:13,P039
TK8271,OR7948,Port Said (Suez Canal entrance),Pending,15/04/2025 15:39,P005
TK8447,OR6813,Honolulu,Delivered,11/04/2025 15:42,P012
TK6518,OR6685,Port Klang,Pending,28/03/2025 17:06,P021
TK9642,OR6952,Rotterdam,In Transit,28/04/2025 23:26,P007
TK5909,OR7579,Xiamen,In Transit,24/04/2025 13:08,P039
TK2306,OR6073,Gladstone,In Transit,24/04/2025 12:32,P032
TK8722,OR7192,Port Said (Suez Canal entrance),Delivered,10/04/2025 11:51,P005
TK3704,OR6301,Port Said (Suez Canal entrance),Pending,01/04/2025 11:34,P005
TK2247,OR6417,Copenhagen,Delivered,23/04/2025 09:52,P025
TK7373,OR6898,Los Angeles,Pending,30/03/2025 15:02,P050
TK9573,OR6869,Port Everglades,In Transit,26/04/2025 16:31,P036
TK3643,OR6378,Southampton,In Transit,22/04/2025 14:47,P008
TK9115,OR6469,Houston,Pending,15/04/2025 07:27,P049
TK7761,OR7168,Port Louis,Pending,17/03/2025 16:09,P043
